Questions,Oracle
"I want to retrieve information about all trash bins in the system","GET /bin \n"
"I want to register a new trash bin in the system with id: 3, location: 'City Square', fillLevel: 10, lastEmptied: '2025-09-25T06:30:00Z', binType: 'organic', status: 'normal'","POST /bin \n"
"I want to delete the trash bin with id: 1 from the system","DELETE /bin/1 \n"
"I want to retrieve information about the trash bin with id: 1","GET /bin/1 \n"
"I want to update the trash bin with id: 1 to have fillLevel: 100 and status: 'overflowing'","PUT /bin/1 \n"
"I want to retrieve information about all the buildings registered in the system","GET /building \n"
"I want to register a new building in the system with id: 3, name: 'Community Center', address: '789 Community Rd, Cityville', occupancy: 30, energyUsage: 500, status: 'operational'","POST /building \n"
"I want to delete the building with id: 1 from the system","DELETE /building/1 \n"
"I want to retrieve information about the building with id: 1","GET /building/1 \n"
"I want to update the building with id: 1 to have occupancy: 160 and energyUsage: 1250","PUT /building/1 \n"
"I want to retrieve information about all EV charging stations in the system","GET /charging-station \n"
"I want to register a new EV charging station in the system with id: 3, location: '789 Battery Blvd', available: 'true', connectors: 6, chargingSpeed: 'slow', pricePerKWh: 0.2","POST /charging-station \n"
"I want to delete the EV charging station with id: 1 from the system","DELETE /charging-station/1 \n"
"I want to retrieve information about the EV charging station with id: 1","GET /charging-station/1 \n"
"I want to update the EV charging station with id: 1 to have available: false","PUT /charging-station/1 \n"
"I want to reitrieve information about all citizen reports in the system","GET /citizen-report \n"
"I want to register a new citizen report in the system with id: 3, reporterName: 'Alice Johnson', location: 'Main St and 3rd Ave', category: 'safety', description: 'Large pothole on Main St', status: 'open', submittedAt: '2025-09-25T08:00:00Z'","POST /citizen-report \n"
"I want to delete the citizen report with id: 1 from the system","DELETE /citizen-report/1 \n"
"I want to retrieve information about the citizen report with id: 1","GET /citizen-report/1 \n"
"I want to update the citizen report with id: 1 to have status: 'resolved'","PUT /citizen-report/1 \n"
"I want to retrieve information about all emergency units in the system","GET /emergency-unit \n"
"I want to register a new emergency unit in the system with id: 3, type: 'police', location: 'Station 5', available: true, status: 'idle'","POST /emergency-unit \n"
"I want to delete the emergency unit with id: 1 from the system","DELETE /emergency-unit/1 \n"
"I want to retrieve information about the emergency unit with id: 1","GET /emergency-unit/1 \n"
"I want to update the emergency unit with id: 1 to have available: false and status: 'responding'","PUT /emergency-unit/1 \n"
"I want to retrieve information about all lights registered in the system","GET /light \n"
"I want to register a new light in the system with id: 103, location: 'Liberty Blvd - Pole 7', status: 'on', brightness: 90, energyConsumption: 1.35, smartEnabled: true","POST /light \n"
"I want to delete the light with id: 101 from the system","DELETE /light/101 \n"
"I want to retrieve information about the light with id: 101","GET /light/101 \n"
"I want to update the light with id: 101 to have brightness: 0 and status: 'off'","PUT /light/101 \n"
"I want to retrieve information about all buses in the system","GET /bus \n"
"I want to register a new bus in the system with id: 3, name: 'East Gate', location: 'East Side Avenue', active: true, nextArrival: '2025-09-25T13:30:00Z', routeId: 'C3'","POST /bus \n"
"I want to delete the bus with id: 1 from the system","DELETE /bus/1 \n"
"I want to retrieve information about the bus with id: 1","GET /bus/1 \n"
"I want to update the bus with id: 1 to have active: false and routeId: 'A1'","PUT /bus/1 \n"
"I want to retrieve information about all sensors in the system","GET /sensor \n"
"I want to register a new sensor in the system with id: 3, location: 'Riverside Walk', sensorType: 'humidity', lastReading: 56.7, lastUpdated: '2025-09-25T09:00:00Z', status: 'active'","POST /sensor \n"
"I want to delete the sensor with id: 1 from the system","DELETE /sensor/1 \n"
"I want to retrieve information about the sensor with id: 1","GET /sensor/1 \n"
"I want to update the sensor with id: 1 to have sensorType: 'temperature'","PUT /sensor/1 \n"
"I want to retrieve information about all traffic-sensors in the system","GET /traffic-sensor \n"
"I want to register a new traffic-sensor in the system with id: 3, location: 'Elm St & 3rd Ave', active: true, congestionLevel: 'low', lastUpdated: '2025-09-25T10:00:00Z'","POST /traffic-sensor \n"
"I want to delete the traffic-sensor with id: 1 from the system","DELETE /traffic-sensor/1 \n"
"I want to retrieve information about the traffic-sensor with id: 1","GET /traffic-sensor/1 \n"
"I want to update the traffic-sensor with id: 1 to have active: 'false'","PUT /traffic-sensor/1 \n"
"I want to retrieve information about all trash bins in the system AND retrieve information about the trash bin with id: 1","GET /bin \n GET /bin/1 \n"
"I want to register a new trash bin in the system with id: 3, location: 'City Square', fillLevel: 10, lastEmptied: '2025-09-25T06:30:00Z', binType: 'organic', status: 'normal' AND delete the trash bin with id: 1 from the system","POST /bin \n DELETE /bin/1 \n"
"I want to update the trash bin with id: 1 to have fillLevel: 100 and status: 'overflowing' AND retrieve information about all trash bins in the system","PUT /bin/1 \n GET /bin \n"
"I want to retrieve information about the trash bin with id: 1 AND update the trash bin with id: 1 to have fillLevel: 100 and status: 'overflowing'","GET /bin/1 \n PUT /bin/1 \n"
"I want to delete the trash bin with id: 1 from the system AND retrieve information about all trash bins in the system","DELETE /bin/1 \n GET /bin \n"
"I want to retrieve information about all the buildings registered in the system AND retrieve information about the building with id: 1","GET /building \n GET /building/1 \n"
"I want to register a new building in the system with id: 3, name: 'Community Center', address: '789 Community Rd, Cityville', occupancy: 30, energyUsage: 500, status: 'operational' AND delete the building with id: 1 from the system","POST /building \n DELETE /building/1 \n"
"I want to update the building with id: 1 to have occupancy: 160 and energyUsage: 1250 AND retrieve information about all the buildings registered in the system","PUT /building/1 \n GET /building \n"
"I want to retrieve information about the building with id: 1 AND update the building with id: 1 to have occupancy: 160 and energyUsage: 1250","GET /building/1 \n PUT /building/1 \n"
"I want to delete the building with id: 1 from the system AND retrieve information about all the buildings registered in the system","DELETE /building/1 \n GET /building \n"
"I want to retrieve information about all EV charging stations in the system AND retrieve information about the EV charging station with id: 1","GET /charging-station \n GET /charging-station/1 \n"
"I want to register a new EV charging station in the system with id: 3, location: '789 Battery Blvd', available: 'true', connectors: 6, chargingSpeed: 'slow', pricePerKWh: 0.2 AND delete the EV charging station with id: 1 from the system","POST /charging-station \n DELETE /charging-station/1 \n"
"I want to update the EV charging station with id: 1 to have available: false AND retrieve information about all EV charging stations in the system","PUT /charging-station/1 \n GET /charging-station \n"
"I want to retrieve information about the EV charging station with id: 1 AND update the EV charging station with id: 1 to have available: false","GET /charging-station/1 \n PUT /charging-station/1 \n"
"I want to delete the EV charging station with id: 1 from the system AND retrieve information about all EV charging stations in the system","DELETE /charging-station/1 \n GET /charging-station \n"
"I want to reitrieve information about all citizen reports in the system AND retrieve information about the citizen report with id: 1","GET /citizen-report \n GET /citizen-report/1 \n"
"I want to register a new citizen report in the system with id: 3, reporterName: 'Alice Johnson', location: 'Main St and 3rd Ave', category: 'safety', description: 'Large pothole on Main St', status: 'open', submittedAt: '2025-09-25T08:00:00Z' AND delete the citizen report with id: 1 from the system","POST /citizen-report \n DELETE /citizen-report/1 \n"
"I want to update the citizen report with id: 1 to have status: 'resolved' AND reitrieve information about all citizen reports in the system","PUT /citizen-report/1 \n GET /citizen-report \n"
"I want to retrieve information about the citizen report with id: 1 AND update the citizen report with id: 1 to have status: 'resolved'","GET /citizen-report/1 \n PUT /citizen-report/1 \n"
"I want to delete the citizen report with id: 1 from the system AND reitrieve information about all citizen reports in the system","DELETE /citizen-report/1 \n GET /citizen-report \n"
"I want to retrieve information about all emergency units in the system AND retrieve information about the emergency unit with id: 1","GET /emergency-unit \n GET /emergency-unit/1 \n"
"I want to register a new emergency unit in the system with id: 3, type: 'police', location: 'Station 5', available: true, status: 'idle' AND delete the emergency unit with id: 1 from the system","POST /emergency-unit \n DELETE /emergency-unit/1 \n"
"I want to update the emergency unit with id: 1 to have available: false and status: 'responding' AND retrieve information about all emergency units in the system","PUT /emergency-unit/1 \n GET /emergency-unit \n"
"I want to retrieve information about the emergency unit with id: 1 AND update the emergency unit with id: 1 to have available: false and status: 'responding'","GET /emergency-unit/1 \n PUT /emergency-unit/1 \n"
"I want to delete the emergency unit with id: 1 from the system AND retrieve information about all emergency units in the system","DELETE /emergency-unit/1 \n GET /emergency-unit \n"
"I want to retrieve information about all lights registered in the system AND retrieve information about the light with id: 101","GET /light \n GET /light/101 \n"
"I want to register a new light in the system with id: 103, location: 'Liberty Blvd - Pole 7', status: 'on', brightness: 90, energyConsumption: 1.35, smartEnabled: true AND delete the light with id: 101 from the system","POST /light \n DELETE /light/101 \n"
"I want to update the light with id: 101 to have brightness: 0 and status: 'off' AND retrieve information about all lights registered in the system","PUT /light/101 \n GET /light \n"
"I want to retrieve information about the light with id: 101 AND update the light with id: 101 to have brightness: 0 and status: 'off'","GET /light/101 \n PUT /light/101 \n"
"I want to delete the light with id: 101 from the system AND retrieve information about all lights registered in the system","DELETE /light/101 \n GET /light \n"
"I want to retrieve information about all buses in the system AND retrieve information about the bus with id: 1","GET /bus \n GET /bus/1 \n"
"I want to register a new bus in the system with id: 3, name: 'East Gate', location: 'East Side Avenue', active: true, nextArrival: '2025-09-25T13:30:00Z', routeId: 'C3' AND delete the bus with id: 1 from the system","POST /bus \n DELETE /bus/1 \n"
"I want to update the bus with id: 1 to have active: false and routeId: 'A1' AND retrieve information about all buses in the system","PUT /bus/1 \n GET /bus \n"
"I want to retrieve information about the bus with id: 1 AND update the bus with id: 1 to have active: false and routeId: 'A1'","GET /bus/1 \n PUT /bus/1 \n"
"I want to delete the bus with id: 1 from the system AND retrieve information about all buses in the system","DELETE /bus/1 \n GET /bus \n"
"I want to retrieve information about all sensors in the system AND retrieve information about the sensor with id: 1","GET /sensor \n GET /sensor/1 \n"
"I want to register a new sensor in the system with id: 3, location: 'Riverside Walk', sensorType: 'humidity', lastReading: 56.7, lastUpdated: '2025-09-25T09:00:00Z', status: 'active' AND delete the sensor with id: 1 from the system","POST /sensor \n DELETE /sensor/1 \n"
"I want to update the sensor with id: 1 to have sensorType: 'temperature' AND retrieve information about all sensors in the system","PUT /sensor/1 \n GET /sensor \n"
"I want to retrieve information about the sensor with id: 1 AND update the sensor with id: 1 to have sensorType: 'temperature'","GET /sensor/1 \n PUT /sensor/1 \n"
"I want to delete the sensor with id: 1 from the system AND retrieve information about all sensors in the system","DELETE /sensor/1 \n GET /sensor \n"
"I want to retrieve information about all traffic-sensors in the system AND retrieve information about the traffic-sensor with id: 1","GET /traffic-sensor \n GET /traffic-sensor/1 \n"
"I want to register a new traffic-sensor in the system with id: 3, location: 'Elm St & 3rd Ave', active: true, congestionLevel: 'low', lastUpdated: '2025-09-25T10:00:00Z' AND delete the traffic-sensor with id: 1 from the system","POST /traffic-sensor \n DELETE /traffic-sensor/1 \n"
"I want to update the traffic-sensor with id: 1 to have active: 'false' AND retrieve information about all traffic-sensors in the system","PUT /traffic-sensor/1 \n GET /traffic-sensor \n"
"I want to retrieve information about the traffic-sensor with id: 1 AND update the traffic-sensor with id: 1 to have active: 'false'","GET /traffic-sensor/1 \n PUT /traffic-sensor/1 \n"
"I want to delete the traffic-sensor with id: 1 from the system AND retrieve information about all traffic-sensors in the system","DELETE /traffic-sensor/1 \n GET /traffic-sensor \n"
"I want to retrieve information about all trash bins in the system AND register a new trash bin in the system with id: 3, location: 'City Square', fillLevel: 10, lastEmptied: '2025-09-25T06:30:00Z', binType: 'organic', status: 'normal' AND delete the trash bin with id: 1 from the system","GET /bin \n POST /bin \n DELETE /bin/1 \n"
"I want to retrieve information about all the buildings registered in the system AND register a new building in the system with id: 3, name: 'Community Center', address: '789 Community Rd, Cityville', occupancy: 30, energyUsage: 500, status: 'operational' AND delete the building with id: 1 from the system","GET /building \n POST /building \n DELETE /building/1 \n"
"I want to retrieve information about all EV charging stations in the system AND register a new EV charging station in the system with id: 3, location: '789 Battery Blvd', available: 'true', connectors: 6, chargingSpeed: 'slow', pricePerKWh: 0.2 AND update the EV charging station with id: 1 to have available: false","GET /charging-station \n POST /charging-station \n PUT /charging-station/1 \n"
"I want to retrieve information about all citizen reports in the system AND register a new citizen report in the system with id: 3, reporterName: 'Alice Johnson', location: 'Main St and 3rd Ave', category: 'safety', description: 'Large pothole on Main St', status: 'open', submittedAt: '2025-09-25T08:00:00Z' AND update the citizen report with id: 1 to have status: 'resolved'","GET /citizen-report \n POST /citizen-report \n PUT /citizen-report/1 \n"
"I want to retrieve information about all emergency units in the system AND register a new emergency unit in the system with id: 3, type: 'police', location: 'Station 5', available: true, status: 'idle' AND update the emergency unit with id: 1 to have available: false and status: 'responding'","GET /emergency-unit \n POST /emergency-unit \n PUT /emergency-unit/1 \n"
"I want to retrieve information about all lights registered in the system AND register a new light in the system with id: 103, location: 'Liberty Blvd - Pole 7', status: 'on', brightness: 90, energyConsumption: 1.35, smartEnabled: true AND delete the light with id: 101 from the system","GET /light \n POST /light \n DELETE /light/101 \n"
"I want to retrieve information about all buses in the system AND register a new bus in the system with id: 3, name: 'East Gate', location: 'East Side Avenue', active: true, nextArrival: '2025-09-25T13:30:00Z', routeId: 'C3' AND update the bus with id: 1 to have active: false and routeId: 'A1'","GET /bus \n POST /bus \n PUT /bus/1 \n"
"I want to retrieve information about all sensors in the system AND register a new sensor in the system with id: 3, location: 'Riverside Walk', sensorType: 'humidity', lastReading: 56.7, lastUpdated: '2025-09-25T09:00:00Z', status: 'active' AND update the sensor with id: 1 to have sensorType: 'temperature'","GET /sensor \n POST /sensor \n PUT /sensor/1 \n"
"I want to retrieve information about all traffic-sensors in the system AND delete the traffic-sensor with id: 1 from the system AND update the traffic-sensor with id: 1 to have active: 'false'","GET /traffic-sensor \n DELETE /traffic-sensor/1 \n PUT /traffic-sensor/1"